Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
0,0,99,16,193,107,170,621,177,259,0,29,139.25
0,0,80,41,74,199,356,458,533,213,0,15,164.08
0,0,40,48,132,165,236,274,271,153,1,38,113.17
0,0,25,48,103,85,137,179,267,275,3,38,96.67
0,0,51,45,198,423,196,495,388,164,4,13,164.75
0,0,101,45,108,239,320,436,634,210,0,6,174.92
0,0,14,41,103,134,124,210,185,195,2,58,88.83
0,1,58,62,220,162,85,309,171,200,15,104,115.58
0,0,94,34,157,228,151,294,266,165,46,23,121.5
0,0,60,84,146,349,411,485,285,265,92,1,181.5
0,2,76,68,173,277,173,427,95,176,2,21,124.17
0,0,41,17,170,199,192,620,332,303,225,4,175.25
0,0,73,40,202,299,181,647,311,249,252,7,188.42
0,0,62,66,99,361,304,1305,544,332,166,0,269.92
0,0,95,14,130,254,270,630,421,357,211,8,199.17
0,0,175,102,243,167,198,596,179,188,245,33,177.17
0,1,42,57,210,362,133,1120,191,124,83,8,194.25
1,0,29,89,162,466,95,1110,283,194,84,9,210.17
0,0,96,33,114,514,226,542,303,130,122,33,176.08
0,0,30,53,154,335,251,872,278,317,95,5,199.17
0,0,148,40,148,434,202,743,255,173,126,26,191.25
0,0,65,54,239,564,490,846,495,307,133,5,266.5
0,0,2,57,166,289,169,850,485,261,107,0,198.83
0,0,93,19,186,403,177,593,436,174,124,22,185.58
0,0,47,66,84,411,197,1104,361,57,72,11,200.83
0,0,71,14,205,475,177,1045,558,259,102,21,243.92
0,0,132,85,139,473,192,1249,322,100,12,0,225.33
0,0,12,11,92,381,375,0,0,0,0,0,72.58
0,0,89,37,138,288,194,348,191,80,64,48,123.08
0,0,96,14,227,202,267,378,140,186,1,33,128.67
0,19,134,56,274,451,600,504,411,564,9,25,253.92
0,0,70,31,221,521,241,566,253,170,5,8,173.83
0,0,81,31,114,93,237,422,261,142,0,20,116.75
0,0,50,35,209,500,468,504,614,173,0,4,213.08
0,0,42,83,167,74,205,411,118,211,1,44,113
0,0,40,53,124,956,835,616,352,130,0,1,258.92
0,13,195,25,122,488,293,180,325,673,54,38,200.5
0,0,42,45,63,363,214,441,204,182,60,66,140
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70,36,143,123,134,349,142,202,7,40,103.83
0,133,203,447,397,365,188,56,0,14,33,26,155.17
